column_name,column_value
_prepare,
background,white
bidi,no
canvas_backend,xpyriment
clock_backend,legacy
color_backend,legacy
compensation,0
coordinates,relative
count_end_of_experiment,0
count_experiment,0
description,Executes Python code
disable_garbage_collection,yes
empty_column,
font_bold,no
font_family,mono
font_italic,no
font_size,24
font_underline,no
foreground,black
form_clicks,no
fullscreen,yes
keyboard_backend,legacy
mouse_backend,xpyriment
opensesame_codename,Jazzy James
repeat_cycle,0
round_decimals,2
sampler_backend,legacy
sound_buf_size,1024
sound_channels,2
sound_freq,48000
sound_sample_size,-16
start,experiment
synth_backend,legacy
title,lineup1
transparent_variables,no
uniform_coordinates,no
width,1366
